metric,ref_period,year,n_ref,n_year,mean_ref,mean_year,diff,t_value,p_raw,effect_size_d,p_fdr,significant
negation_ratio,2020–2022,2025,3680,2143,0.0018973115284676107,0.0031264069062062532,0.0012290953777386426,-3.0627926909677385,0.0022175432108377633,0.09197704965581172,,False
negative_words,2020–2022,2023,3680,1796,0.23367247485691808,0.23463432628062358,0.0009618514237055009,-0.3273876146605243,0.7433942070145192,0.00944503483759806,,False
negative_words,2020–2022,2024,3680,2447,0.23367247485691808,0.24169569325153373,0.008023218394615644,-3.074071692921559,0.002122314973657384,0.08003729814798899,,False
negative_words,2020–2022,2025,3680,2143,0.23367247485691808,0.23850040130657957,0.004827926449661485,-1.8677992804625057,0.06185031924268665,0.05007382840019961,,False
noun_ratio,2020–2022,2023,3680,1796,0.3713550285420358,0.3710068095768374,-0.0003482189651983769,0.2389248079520463,0.8111763754306358,-0.00675029842253105,,False
noun_ratio,2020–2022,2024,3680,2447,0.3713550285420358,0.3759466830265849,0.004591654484549124,-3.43938753438215,0.0005872934542781086,0.08879784645897872,,False
noun_ratio,2020–2022,2025,3680,2143,0.3713550285420358,0.38910603359776014,0.017751005055724356,-13.276148511249977,1.4440854143223288e-39,0.35288377595669657,,False
nouns_ambiguity,2020–2022,2023,3680,1796,3.3945074366838695,3.4201547995545654,0.02564736287069591,-1.3071340977221992,0.19125381629864388,0.03781485241713453,,False
nouns_ambiguity,2020–2022,2024,3680,2447,3.3945074366838695,3.4914322617586917,0.09692482507482225,-4.61258230848661,4.094092320609193e-06,0.12359062398517656,,False
nouns_ambiguity,2020–2022,2025,3680,2143,3.3945074366838695,3.4004242837144187,0.005916847030549288,-0.31837579524793996,0.750215189067175,0.008692662879095854,,False
or_ratio,2020–2022,2023,3680,1796,0.0012560621059279529,0.001276108017817372,2.0045911889419012e-05,-0.18595935215751772,0.8524874061810532,0.0053697011567144185,,False
or_ratio,2020–2022,2024,3680,2447,0.0012560621059279529,0.000877402862985685,-0.0003786592429422679,4.279981528824278,1.8994810703708773e-05,-0.10991442911911563,,False
or_ratio,2020–2022,2025,3680,2143,0.0012560621059279529,0.0009970135324311714,-0.00025904857349678154,2.9235661260145824,0.003475249158682116,-0.07716786491770586,,False
paragraphs,2020–2022,2023,3680,1796,1.0,1.0,0.0,,,,,False
paragraphs,2020–2022,2024,3680,2447,1.0,1.0,0.0,,,,,False
paragraphs,2020–2022,2025,3680,2143,1.0,1.0,0.0,,,,,False
personal_pronouns,2020–2022,2023,3680,1796,0.0010644994104165864,0.0009598329621380847,-0.00010466644827850167,1.0537223990512545,0.29207874451862476,-0.030099939494851187,,False
personal_pronouns,2020–2022,2024,3680,2447,0.0010644994104165864,0.0007617914110429447,-0.0003027079993736416,3.562895510778109,0.0003697605397844017,-0.09149222231829898,,False
personal_pronouns,2020–2022,2025,3680,2143,0.0010644994104165864,0.0004886840877274849,-0.0005758153226891015,7.425873807876644,1.284401211213692e-13,-0.19110215077235662,,False
